万得代码,交易所代码,自然日,订单时间,买卖方向,成交价格,订单数量,明细个数,订单明细,
300446.SZ,300446,20171229,100724000,66,216200,1,1,1000,
300446.SZ,300446,20171229,100730000,65,216400,1,1,600,
300446.SZ,300446,20171229,100730000,66,216200,1,1,500,
300446.SZ,300446,20171229,100742000,65,216400,1,1,600,
300446.SZ,300446,20171229,100742000,66,216100,3,3,7300,8000,600,
300446.SZ,300446,20171229,100800000,65,216400,1,1,600,
300446.SZ,300446,20171229,100800000,66,216100,3,3,7200,8000,600,
300446.SZ,300446,20171229,100803000,65,216400,1,1,600,
300446.SZ,300446,20171229,100803000,66,216200,1,1,700,
300446.SZ,300446,20171229,100815000,65,216400,1,1,600,
300446.SZ,300446,20171229,100815000,66,216100,2,2,2500,600,
300446.SZ,300446,20171229,100836000,65,216400,1,1,600,
300446.SZ,300446,20171229,100836000,66,216100,2,2,1000,600,
300446.SZ,300446,20171229,100848000,65,216400,2,2,600,500,
300446.SZ,300446,20171229,100848000,66,216100,2,2,1000,600,
300446.SZ,300446,20171229,100851000,65,216400,2,2,600,500,
